entity_slug,entity_name,type,business_line,metric,unit,currency,actual_or_estimate,year,base_value,bearish_forecast,normal_forecast,bullish_forecast,bearish_thesis,normal_thesis,bullish_thesis,source_url,source_date,updated_at,confidence,notes
abb_robotics,ABB Robotics,company,Core business,revenue,USD bn,USD,estimate,2026,,TBD,TBD,TBD,"Adoption, margins, or monetization lag while capex stays elevated.",Core business remains strategically relevant and linked adjacencies add optionality gradually.,Linked markets inflect in ABB Robotics's favor and operating leverage becomes visible.,https://new.abb.com/products/robotics,2026-06-20,2026-06-20,0.30,Bootstrap placeholder row; replace TBD values after source-backed extraction.
agility_robotics,Agility Robotics,private_company,Core business,revenue,USD bn,USD,estimate,2026,,TBD,TBD,TBD,"Adoption, margins, or monetization lag while capex stays elevated.",Core business remains strategically relevant and linked adjacencies add optionality gradually.,Linked markets inflect in Agility Robotics's favor and operating leverage becomes visible.,https://agilityrobotics.com/,2026-06-20,2026-06-20,0.30,Bootstrap placeholder row; replace TBD values after source-backed extraction.
ai_agents,AI agents,technology,AI agents,market size,USD bn,USD,estimate,2026,,TBD,TBD,TBD,Demand underwhelms or bottlenecks persist longer than expected.,Structural demand grows but constraints and pricing cycles keep progress uneven.,"Demand accelerates, bottlenecks loosen selectively, and pricing power stays supportive.",https://openai.com/index/new-tools-for-building-agents/,2026-06-20,2026-06-20,0.30,Bootstrap placeholder row; replace TBD values after source-backed extraction.
ai_consumer_devices,AI consumer devices,market,AI consumer devices,market size,USD bn,USD,estimate,2026,,TBD,TBD,TBD,Demand underwhelms or bottlenecks persist longer than expected.,Structural demand grows but constraints and pricing cycles keep progress uneven.,"Demand accelerates, bottlenecks loosen selectively, and pricing power stays supportive.",https://www.counterpointresearch.com/,2026-06-20,2026-06-20,0.30,Bootstrap placeholder row; replace TBD values after source-backed extraction.
ai_inference_economics,AI inference economics,market,AI inference economics,market size,USD bn,USD,estimate,2026,,TBD,TBD,TBD,Demand underwhelms or bottlenecks persist longer than expected.,Structural demand grows but constraints and pricing cycles keep progress uneven.,"Demand accelerates, bottlenecks loosen selectively, and pricing power stays supportive.",https://www.anthropic.com/engineering,2026-06-20,2026-06-20,0.30,Bootstrap placeholder row; replace TBD values after source-backed extraction.
albemarle,Albemarle,company,Core business,revenue,USD bn,USD,estimate,2026,,TBD,TBD,TBD,"Adoption, margins, or monetization lag while capex stays elevated.",Core business remains strategically relevant and linked adjacencies add optionality gradually.,Linked markets inflect in Albemarle's favor and operating leverage becomes visible.,https://www.albemarle.com/,2026-06-20,2026-06-20,0.30,Bootstrap placeholder row; replace TBD values after source-backed extraction.
aluminum,Aluminum,commodity,Aluminum,commodity price,index,USD,estimate,2026,,TBD,TBD,TBD,New supply or weaker demand pushes prices below incentive levels.,Supply-demand stays cyclical but structurally supported by linked electrification and AI themes.,Persistent bottlenecks tighten supply and lift prices / margins faster than demand models assume.,https://international-aluminium.org/,2026-06-20,2026-06-20,0.30,Bootstrap placeholder row; replace TBD values after source-backed extraction.
amazon,Amazon,company,Core business,revenue,USD bn,USD,estimate,2026,,TBD,TBD,TBD,"Adoption, margins, or monetization lag while capex stays elevated.",Core business remains strategically relevant and linked adjacencies add optionality gradually.,Linked markets inflect in Amazon's favor and operating leverage becomes visible.,https://www.aboutamazon.com/,2026-06-20,2026-06-20,0.30,Bootstrap placeholder row; replace TBD values after source-backed extraction.
amazon_kuiper,Amazon Kuiper,private_company,Core business,revenue,USD bn,USD,estimate,2026,,TBD,TBD,TBD,"Adoption, margins, or monetization lag while capex stays elevated.",Core business remains strategically relevant and linked adjacencies add optionality gradually.,Linked markets inflect in Amazon Kuiper's favor and operating leverage becomes visible.,https://www.aboutamazon.com/what-we-do/devices-services/project-kuiper,2026-06-20,2026-06-20,0.30,Bootstrap placeholder row; replace TBD values after source-backed extraction.
amd,AMD,company,Core business,revenue,USD bn,USD,estimate,2026,,TBD,TBD,TBD,"Adoption, margins, or monetization lag while capex stays elevated.",Core business remains strategically relevant and linked adjacencies add optionality gradually.,Linked markets inflect in AMD's favor and operating leverage becomes visible.,https://www.amd.com/,2026-06-20,2026-06-20,0.30,Bootstrap placeholder row; replace TBD values after source-backed extraction.
anthropic,Anthropic,private_company,Core business,revenue,USD bn,USD,estimate,2026,,TBD,TBD,TBD,"Adoption, margins, or monetization lag while capex stays elevated.",Core business remains strategically relevant and linked adjacencies add optionality gradually.,Linked markets inflect in Anthropic's favor and operating leverage becomes visible.,https://www.anthropic.com/,2026-06-20,2026-06-20,0.30,Bootstrap placeholder row; replace TBD values after source-backed extraction.
apple,Apple,company,Core business,revenue,USD bn,USD,estimate,2026,,TBD,TBD,TBD,"Adoption, margins, or monetization lag while capex stays elevated.",Core business remains strategically relevant and linked adjacencies add optionality gradually.,Linked markets inflect in Apple's favor and operating leverage becomes visible.,https://www.apple.com/,2026-06-20,2026-06-20,0.30,Bootstrap placeholder row; replace TBD values after source-backed extraction.
apptronik,Apptronik,private_company,Core business,revenue,USD bn,USD,estimate,2026,,TBD,TBD,TBD,"Adoption, margins, or monetization lag while capex stays elevated.",Core business remains strategically relevant and linked adjacencies add optionality gradually.,Linked markets inflect in Apptronik's favor and operating leverage becomes visible.,https://apptronik.com/,2026-06-20,2026-06-20,0.30,Bootstrap placeholder row; replace TBD values after source-backed extraction.
arm,Arm,company,Core business,revenue,USD bn,USD,estimate,2026,,TBD,TBD,TBD,"Adoption, margins, or monetization lag while capex stays elevated.",Core business remains strategically relevant and linked adjacencies add optionality gradually.,Linked markets inflect in Arm's favor and operating leverage becomes visible.,https://www.arm.com/,2026-06-20,2026-06-20,0.30,Bootstrap placeholder row; replace TBD values after source-backed extraction.
asml,ASML,company,Core business,revenue,USD bn,USD,estimate,2026,,TBD,TBD,TBD,"Adoption, margins, or monetization lag while capex stays elevated.",Core business remains strategically relevant and linked adjacencies add optionality gradually.,Linked markets inflect in ASML's favor and operating leverage becomes visible.,https://www.asml.com/,2026-06-20,2026-06-20,0.30,Bootstrap placeholder row; replace TBD values after source-backed extraction.
automotive_market,Automotive market,market,Automotive market,market size,USD bn,USD,estimate,2026,,TBD,TBD,TBD,Demand underwhelms or bottlenecks persist longer than expected.,Structural demand grows but constraints and pricing cycles keep progress uneven.,"Demand accelerates, bottlenecks loosen selectively, and pricing power stays supportive.",https://www.oica.net/category/production-statistics/,2026-06-20,2026-06-20,0.30,Bootstrap placeholder row; replace TBD values after source-backed extraction.
aws,AWS,company,Core business,revenue,USD bn,USD,estimate,2026,,TBD,TBD,TBD,"Adoption, margins, or monetization lag while capex stays elevated.",Core business remains strategically relevant and linked adjacencies add optionality gradually.,Linked markets inflect in AWS's favor and operating leverage becomes visible.,https://aws.amazon.com/,2026-06-20,2026-06-20,0.30,Bootstrap placeholder row; replace TBD values after source-backed extraction.
battery_storage,Battery energy storage,sector,Battery energy storage,market size,USD bn,USD,estimate,2026,,TBD,TBD,TBD,Demand underwhelms or bottlenecks persist longer than expected.,Structural demand grows but constraints and pricing cycles keep progress uneven.,"Demand accelerates, bottlenecks loosen selectively, and pricing power stays supportive.",https://www.iea.org/reports/batteries-and-secure-energy-transitions,2026-06-20,2026-06-20,0.30,Bootstrap placeholder row; replace TBD values after source-backed extraction.
boston_dynamics,Boston Dynamics,private_company,Core business,revenue,USD bn,USD,estimate,2026,,TBD,TBD,TBD,"Adoption, margins, or monetization lag while capex stays elevated.",Core business remains strategically relevant and linked adjacencies add optionality gradually.,Linked markets inflect in Boston Dynamics's favor and operating leverage becomes visible.,https://bostondynamics.com/,2026-06-20,2026-06-20,0.30,Bootstrap placeholder row; replace TBD values after source-backed extraction.
broadcom,Broadcom,company,Core business,revenue,USD bn,USD,estimate,2026,,TBD,TBD,TBD,"Adoption, margins, or monetization lag while capex stays elevated.",Core business remains strategically relevant and linked adjacencies add optionality gradually.,Linked markets inflect in Broadcom's favor and operating leverage becomes visible.,https://www.broadcom.com/,2026-06-20,2026-06-20,0.30,Bootstrap placeholder row; replace TBD values after source-backed extraction.
byd,BYD,company,Core business,revenue,USD bn,USD,estimate,2026,,TBD,TBD,TBD,"Adoption, margins, or monetization lag while capex stays elevated.",Core business remains strategically relevant and linked adjacencies add optionality gradually.,Linked markets inflect in BYD's favor and operating leverage becomes visible.,https://www.bydglobal.com/,2026-06-20,2026-06-20,0.30,Bootstrap placeholder row; replace TBD values after source-backed extraction.
cadence,Cadence,company,Core business,revenue,USD bn,USD,estimate,2026,,TBD,TBD,TBD,"Adoption, margins, or monetization lag while capex stays elevated.",Core business remains strategically relevant and linked adjacencies add optionality gradually.,Linked markets inflect in Cadence's favor and operating leverage becomes visible.,https://www.cadence.com/,2026-06-20,2026-06-20,0.30,Bootstrap placeholder row; replace TBD values after source-backed extraction.
catl,CATL,company,Core business,revenue,USD bn,USD,estimate,2026,,TBD,TBD,TBD,"Adoption, margins, or monetization lag while capex stays elevated.",Core business remains strategically relevant and linked adjacencies add optionality gradually.,Linked markets inflect in CATL's favor and operating leverage becomes visible.,https://www.catl.com/en/,2026-06-20,2026-06-20,0.30,Bootstrap placeholder row; replace TBD values after source-backed extraction.
charging_infrastructure,EV charging infrastructure,infrastructure,EV charging infrastructure,market size,USD bn,USD,estimate,2026,,TBD,TBD,TBD,Demand underwhelms or bottlenecks persist longer than expected.,Structural demand grows but constraints and pricing cycles keep progress uneven.,"Demand accelerates, bottlenecks loosen selectively, and pricing power stays supportive.",https://afdc.energy.gov/fuels/electricity_infrastructure,2026-06-20,2026-06-20,0.30,Bootstrap placeholder row; replace TBD values after source-backed extraction.
china_taiwan_risk,China-Taiwan geopolitical risk,regulation,China-Taiwan geopolitical risk,market size,USD bn,USD,estimate,2026,,TBD,TBD,TBD,Adverse scenario pending source-backed refinement.,Base scenario pending source-backed refinement.,Bull scenario pending source-backed refinement.,https://www.csis.org/programs/china-power-project/taiwan,2026-06-20,2026-06-20,0.30,Bootstrap placeholder row; replace TBD values after source-backed extraction.
cloud_market,Cloud infrastructure market,market,Cloud infrastructure market,market size,USD bn,USD,estimate,2026,,TBD,TBD,TBD,Demand underwhelms or bottlenecks persist longer than expected.,Structural demand grows but constraints and pricing cycles keep progress uneven.,"Demand accelerates, bottlenecks loosen selectively, and pricing power stays supportive.",https://www.srgresearch.com/articles/cloud-market-growth-stays-strong-in-q1-while-amazon-google-and-oracle-nudge-higher,2026-06-20,2026-06-20,0.30,Bootstrap placeholder row; replace TBD values after source-backed extraction.
cobalt,Cobalt,commodity,Cobalt,commodity price,index,USD,estimate,2026,,TBD,TBD,TBD,New supply or weaker demand pushes prices below incentive levels.,Supply-demand stays cyclical but structurally supported by linked electrification and AI themes.,Persistent bottlenecks tighten supply and lift prices / margins faster than demand models assume.,https://www.iea.org/reports/global-critical-minerals-outlook-2025,2026-06-20,2026-06-20,0.30,Bootstrap placeholder row; replace TBD values after source-backed extraction.
copper,Copper,commodity,Copper,commodity price,index,USD,estimate,2026,,TBD,TBD,TBD,New supply or weaker demand pushes prices below incentive levels.,Supply-demand stays cyclical but structurally supported by linked electrification and AI themes.,Persistent bottlenecks tighten supply and lift prices / margins faster than demand models assume.,https://www.iea.org/reports/global-critical-minerals-outlook-2025,2026-06-20,2026-06-20,0.30,Bootstrap placeholder row; replace TBD values after source-backed extraction.
dario_amodei,Dario Amodei,person,Linked ecosystem influence,market size,proxy index,USD,estimate,2026,,TBD,TBD,TBD,"Governance, execution, or attention bandwidth degrades linked-entity performance.",Leadership remains strategically important but effects stay mediated through linked companies and markets.,"Strategy, capital allocation, and product decisions create disproportionate upside across linked entities.",https://www.anthropic.com/team,2026-06-20,2026-06-20,0.30,Bootstrap placeholder row; replace TBD values after source-backed extraction.
datacenters,AI data centers,infrastructure,AI data centers,market size,USD bn,USD,estimate,2026,,TBD,TBD,TBD,Demand underwhelms or bottlenecks persist longer than expected.,Structural demand grows but constraints and pricing cycles keep progress uneven.,"Demand accelerates, bottlenecks loosen selectively, and pricing power stays supportive.",https://www.iea.org/reports/energy-and-ai,2026-06-20,2026-06-20,0.30,Bootstrap placeholder row; replace TBD values after source-backed extraction.
defense_space,Defense space market,market,Defense space market,market size,USD bn,USD,estimate,2026,,TBD,TBD,TBD,Demand underwhelms or bottlenecks persist longer than expected.,Structural demand grows but constraints and pricing cycles keep progress uneven.,"Demand accelerates, bottlenecks loosen selectively, and pricing power stays supportive.",https://www.spaceforce.mil/,2026-06-20,2026-06-20,0.30,Bootstrap placeholder row; replace TBD values after source-backed extraction.
digital_ads,Digital advertising market,market,Digital advertising market,market size,USD bn,USD,estimate,2026,,TBD,TBD,TBD,Demand underwhelms or bottlenecks persist longer than expected.,Structural demand grows but constraints and pricing cycles keep progress uneven.,"Demand accelerates, bottlenecks loosen selectively, and pricing power stays supportive.",https://www.iab.com/insights/internet-advertising-revenue-report/,2026-06-20,2026-06-20,0.30,Bootstrap placeholder row; replace TBD values after source-backed extraction.
ecommerce,E-commerce market,market,E-commerce market,market size,USD bn,USD,estimate,2026,,TBD,TBD,TBD,Demand underwhelms or bottlenecks persist longer than expected.,Structural demand grows but constraints and pricing cycles keep progress uneven.,"Demand accelerates, bottlenecks loosen selectively, and pricing power stays supportive.",https://www.census.gov/retail/ecommerce.html,2026-06-20,2026-06-20,0.30,Bootstrap placeholder row; replace TBD values after source-backed extraction.
electricity_grid,Electricity grid,infrastructure,Electricity grid,market size,USD bn,USD,estimate,2026,,TBD,TBD,TBD,Demand underwhelms or bottlenecks persist longer than expected.,Structural demand grows but constraints and pricing cycles keep progress uneven.,"Demand accelerates, bottlenecks loosen selectively, and pricing power stays supportive.",https://www.energy.gov/gdo/grid-deployment-office,2026-06-20,2026-06-20,0.30,Bootstrap placeholder row; replace TBD values after source-backed extraction.
elon_musk,Elon Musk,person,Linked ecosystem influence,market size,proxy index,USD,estimate,2026,,TBD,TBD,TBD,"Governance, execution, or attention bandwidth degrades linked-entity performance.",Leadership remains strategically important but effects stay mediated through linked companies and markets.,"Strategy, capital allocation, and product decisions create disproportionate upside across linked entities.",https://www.tesla.com/elon-musk,2026-06-20,2026-06-20,0.30,Bootstrap placeholder row; replace TBD values after source-backed extraction.
energy,Energy,sector,Energy,market size,USD bn,USD,estimate,2026,,TBD,TBD,TBD,Demand underwhelms or bottlenecks persist longer than expected.,Structural demand grows but constraints and pricing cycles keep progress uneven.,"Demand accelerates, bottlenecks loosen selectively, and pricing power stays supportive.",https://www.eia.gov/,2026-06-20,2026-06-20,0.30,Bootstrap placeholder row; replace TBD values after source-backed extraction.
ev_market,Electric vehicle market,market,Electric vehicle market,market size,USD bn,USD,estimate,2026,,TBD,TBD,TBD,Demand underwhelms or bottlenecks persist longer than expected.,Structural demand grows but constraints and pricing cycles keep progress uneven.,"Demand accelerates, bottlenecks loosen selectively, and pricing power stays supportive.",https://www.iea.org/reports/global-ev-outlook-2025,2026-06-20,2026-06-20,0.30,Bootstrap placeholder row; replace TBD values after source-backed extraction.
fanuc,FANUC,company,Core business,revenue,USD bn,USD,estimate,2026,,TBD,TBD,TBD,"Adoption, margins, or monetization lag while capex stays elevated.",Core business remains strategically relevant and linked adjacencies add optionality gradually.,Linked markets inflect in FANUC's favor and operating leverage becomes visible.,https://www.fanuc.co.jp/en/,2026-06-20,2026-06-20,0.30,Bootstrap placeholder row; replace TBD values after source-backed extraction.
figure_ai,Figure AI,private_company,Core business,revenue,USD bn,USD,estimate,2026,,TBD,TBD,TBD,"Adoption, margins, or monetization lag while capex stays elevated.",Core business remains strategically relevant and linked adjacencies add optionality gradually.,Linked markets inflect in Figure AI's favor and operating leverage becomes visible.,https://www.figure.ai/,2026-06-20,2026-06-20,0.30,Bootstrap placeholder row; replace TBD values after source-backed extraction.
google,Google / Alphabet,company,Core business,revenue,USD bn,USD,estimate,2026,,TBD,TBD,TBD,"Adoption, margins, or monetization lag while capex stays elevated.",Core business remains strategically relevant and linked adjacencies add optionality gradually.,Linked markets inflect in Google / Alphabet's favor and operating leverage becomes visible.,https://abc.xyz/,2026-06-20,2026-06-20,0.30,Bootstrap placeholder row; replace TBD values after source-backed extraction.
graphite,Graphite,commodity,Graphite,commodity price,index,USD,estimate,2026,,TBD,TBD,TBD,New supply or weaker demand pushes prices below incentive levels.,Supply-demand stays cyclical but structurally supported by linked electrification and AI themes.,Persistent bottlenecks tighten supply and lift prices / margins faster than demand models assume.,https://www.iea.org/reports/global-critical-minerals-outlook-2025,2026-06-20,2026-06-20,0.30,Bootstrap placeholder row; replace TBD values after source-backed extraction.
humanoid_robots,Humanoid robots,sector,Humanoid robots,market size,USD bn,USD,estimate,2026,,TBD,TBD,TBD,Demand underwhelms or bottlenecks persist longer than expected.,Structural demand grows but constraints and pricing cycles keep progress uneven.,"Demand accelerates, bottlenecks loosen selectively, and pricing power stays supportive.",https://ifr.org/ifr-press-releases/news/humanoid-robots-moving-from-hype-to-industrial-application,2026-06-20,2026-06-20,0.30,Bootstrap placeholder row; replace TBD values after source-backed extraction.
industrial_automation,Industrial automation,sector,Industrial automation,market size,USD bn,USD,estimate,2026,,TBD,TBD,TBD,Demand underwhelms or bottlenecks persist longer than expected.,Structural demand grows but constraints and pricing cycles keep progress uneven.,"Demand accelerates, bottlenecks loosen selectively, and pricing power stays supportive.",https://www.ifr.org/,2026-06-20,2026-06-20,0.30,Bootstrap placeholder row; replace TBD values after source-backed extraction.
intel,Intel,company,Core business,revenue,USD bn,USD,estimate,2026,,TBD,TBD,TBD,"Adoption, margins, or monetization lag while capex stays elevated.",Core business remains strategically relevant and linked adjacencies add optionality gradually.,Linked markets inflect in Intel's favor and operating leverage becomes visible.,https://www.intel.com/,2026-06-20,2026-06-20,0.30,Bootstrap placeholder row; replace TBD values after source-backed extraction.
jeff_bezos,Jeff Bezos,person,Linked ecosystem influence,market size,proxy index,USD,estimate,2026,,TBD,TBD,TBD,"Governance, execution, or attention bandwidth degrades linked-entity performance.",Leadership remains strategically important but effects stay mediated through linked companies and markets.,"Strategy, capital allocation, and product decisions create disproportionate upside across linked entities.",https://www.aboutamazon.com/about-us/leadership/jeff-bezos,2026-06-20,2026-06-20,0.30,Bootstrap placeholder row; replace TBD values after source-backed extraction.
jensen_huang,Jensen Huang,person,Linked ecosystem influence,market size,proxy index,USD,estimate,2026,,TBD,TBD,TBD,"Governance, execution, or attention bandwidth degrades linked-entity performance.",Leadership remains strategically important but effects stay mediated through linked companies and markets.,"Strategy, capital allocation, and product decisions create disproportionate upside across linked entities.",https://www.nvidia.com/en-us/about-nvidia/management-team/,2026-06-20,2026-06-20,0.30,Bootstrap placeholder row; replace TBD values after source-backed extraction.
lg_energy_solution,LG Energy Solution,company,Core business,revenue,USD bn,USD,estimate,2026,,TBD,TBD,TBD,"Adoption, margins, or monetization lag while capex stays elevated.",Core business remains strategically relevant and linked adjacencies add optionality gradually.,Linked markets inflect in LG Energy Solution's favor and operating leverage becomes visible.,https://www.lgensol.com/en,2026-06-20,2026-06-20,0.30,Bootstrap placeholder row; replace TBD values after source-backed extraction.
lisa_su,Lisa Su,person,Linked ecosystem influence,market size,proxy index,USD,estimate,2026,,TBD,TBD,TBD,"Governance, execution, or attention bandwidth degrades linked-entity performance.",Leadership remains strategically important but effects stay mediated through linked companies and markets.,"Strategy, capital allocation, and product decisions create disproportionate upside across linked entities.",https://www.amd.com/en/corporate/leadership/lisa-su.html,2026-06-20,2026-06-20,0.30,Bootstrap placeholder row; replace TBD values after source-backed extraction.
